Name,Total_Time,Artist,Album,Genre,Genre_2,Genre_3,Location
Black Crushing Sorcery,06:13.280,Deathspell Omega,Manifestations 2000-2001,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Manifestations 2000-2001/06 Black Crushing Sorcery.m4a
Black Curse,08:22.133,Sigh,Scenario IV: Dread Dreams,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Scenario IV_ Dread Dreams/03 Black Curse.m4a
Black Night Raven,06:56.466,Necrophobic,Womb of Lilithu,Black Metal,Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Necrophobic/Womb of Lilithu/05 Black Night Raven.m4a
Black Paintings In the Sky,05:14.013,Onirik,After Centuries of Silence,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Onirik/After Centuries of Silence/03 Black Paintings In the Sky.m4a
Black Salvation,06:52.426,Watain,Casus Luciferi,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Watain/Casus Luciferi/02 Black Salvation.m4a
Black Swan Events,05:49.706,I Shalt Become,Poison,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/I Shalt Become/Poison/02 Black Swan Events.m4a
Black Victory of Death,04:00.733,Darkthrone,Total Death,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Total Death/04 Black Victory of Death.m4a
Black Wings,05:24.680,Nazxul,Iconoclast,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Nazxul/Iconoclast/04 Black Wings.m4a
Blacksmith of the North,03:13.560,Darkthrone,Dark Thrones and Black Flags,Black Metal,Punk Rock,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Dark Thrones and Black Flags/04 Blacksmith of the North.m4a
Blackwinged,04:30.466,Darkthrone,Total Death,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Total Death/02 Blackwinged.m4a
Blashyrkh (Mighty Ravendark),04:34.586,Immortal,Battles In the North,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Immortal/Battles In The North/10 Blashyrkh (Mighty Ravendark).m4a
Blasphemer,04:01.066,Darkthrone,Total Death,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Total Death/06 Blasphemer.m4a
Blasphemy,06:06.546,Onirik,After Centuries of Silence,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Onirik/After Centuries of Silence/05 Blasphemy.m4a
Bleeding Them Like Swine,03:27.533,Deathspell Omega,Manifestations 2002,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Manifestations 2002/07 Bleeding Them Like Swine.m4a
Blessed Are The Dead Whiche Dye In The Lorde,05:47.880,Deathspell Omega,"Si Monvmentvm Reqvires, Circvmspice",Black Metal,NA,NA,"///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Si Monvmentvm Reqvires, Circvmspice/05 Blessed Are The Dead Whiche Dye In The Lorde.m4a"
Blessing the World In Pestilence,03:33.693,Horned Almighty,Necro Spirituals,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Horned Almighty/Necro Spirituals/06 Blessing the World In Pestilence.m4a
Blizzard Beasts,02:49.786,Immortal,Blizzard Beasts,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Immortal/Blizzard Beasts/02 Blizzard Beasts.m4a
Blodnatt,05:09.840,Finntroll,Midnattens widunder,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Finntroll/Midnattens Widunder/06 Blodnatt.m4a
Blood Eagles Carved on the Backs of Innocents,03:16.998,Anaal Nathrakh,In the Constellation of the Black Widow,Black Metal,Grindcore,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Anaal Nathrakh/In the Constellation of the Black Widow/10 Blood Eagles Carved on the Backs of Innocents.m4a
Blood of the Hermit,11:58.946,Mortualia,Blood of the Hermit,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Mortualia/Blood of the Hermit/04 Blood of the Hermit.m4a
Bloodcleansing,02:43.266,Carpathian Forest,Strange Old Brew,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Carpathian Forest/Strange Old Brew/02 Bloodcleansing.m4a
Bonifatius,03:26,Menhir,Thuringia,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Menhir/Thuringia/07 Bonifatius.m4a
Born Under Saturn,04:18.733,Samael,Passage,Black Metal,Industrial Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Samael/Passage/09 Born Under Saturn.m4a
Bounded By Allegiance,06:38.760,Enslaved,Isa,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/Isa/05 Bounded By Allegiance.m4a
Brand,04:17.053,Lifelover,Konkurs,Black Metal,Doom Metal,Rock,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Lifelover/Konkurs/03 Brand.m4a
Bread of Bitterness,07:49.013,Deathspell Omega,"Fas - Ite, Maledicti, In Ignem Aeternum",Black Metal,NA,NA,"///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Fas - Ite, Maledicti, In Ignem Aeternum/03 Bread of Bitterness.m4a"
Bring Back the Dead,08:21.653,Sigh,Imaginary Sonicscape,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Imaginary Sonicscape/09 Bring Back the Dead.m4a
Bringer of Storm,07:17.973,Forest Silence,Philosophy of Winter,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Forest Silence/Philosophy of Winter/01 Bringer of Storm.m4a
Building With Fire,08:49.546,Enslaved,In Times,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/In Times/02 Building With Fire.m4a
Burzum,07:05.066,Burzum,Filosofem,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Burzum/Filosofem/01 Burzum.m4a
"C (16 Million Colours, Part I and Part II)",07:14.333,Cssaba,Toxic Cssaba,Black Metal,Industrial Metal,Industrial,"///Volumes/Benjamin's iTunes Library/iTunes Media/Music/CSSABA/Toxic Cssaba/01 C (16 Million Colours, Part I and Part II).m4a"
Camp 22,04:00.466,Infernal War,A X I O M,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Infernal War/A X I O M/09 Camp 22.m4a
Canadian Metal,04:44.866,Darkthrone,F.O.A.D.,Black Metal,Punk Rock,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/F.O.A.D_/02 Canadian Metal.m4a
Cancertid,04:56.480,Lifelover,Konkurs,Black Metal,Doom Metal,Rock,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Lifelover/Konkurs/04 Cancertid.m4a
Caradhras,09:32,Summoning,Old Mornings Dawn,Black Metal,Martial Industrial,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Summoning/Old Mornings Dawn/05 Caradhras.m4a
Carcharoth,09:19.866,Summoning,With Doom We Come,Black Metal,Martial Industrial,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Summoning/With Doom We Come/03 Carcharoth.m4a
Carnal Malefactor,11:45.106,Deathspell Omega,"Si Monvmentvm Reqvires, Circvmspice",Black Metal,NA,NA,"///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Si Monvmentvm Reqvires, Circvmspice/11 Carnal Malefactor.m4a"
Carpathian Wolves (Intro) / Barbarism Returns,08:52.066,Graveland,Carpathian Wolves,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Graveland/Carpathian Wolves/01 Carpathian Wolves (Intro) _ Barbarism Returns.m4a
Carrion is a Golden Throne,09:33.864,Rebirth of Nefast,Tabernaculum,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Rebirth of Nefast/Tabernaculum/04 Carrion is a Golden Throne.m4a
Casus Luciferi,08:47.973,Watain,Casus Luciferi,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Watain/Casus Luciferi/08 Casus Luciferi.m4a
Catacrusis,04:33.773,Dark Fortress,Eidolon,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Dark Fortress/Eidolon/08 Catacrusis.m4a
Cel Din Urmă Vis,10:03.893,Negură Bunget,Om,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Negură Bunget/Om/09 Cel Din Urmă Vis.m4a
Center,07:32.786,Enslaved,Vertebrae,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/Vertebrae/07 Center.m4a
Cheremosh,06:07.106,Nokturnal Mortum,To the Gates of Blasphemous Fire,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Nokturnal Mortum/To the Gates of Blasphemous Fire/07 Cheremosh.m4a
Chosen Race,04:08.333,Samael,Passage,Black Metal,Industrial Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Samael/Passage/10 Chosen Race.m4a
Circling Above In Time Before Time,03:56,Immortal,Battles In the North,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Immortal/Battles In The North/09 Circling Above In Time Before Time.m4a
Clouds,06:08.933,Enslaved,Vertebrae,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/Vertebrae/01 Clouds.m4a
Cogito Ergo Sum,02:10.960,Impaled Nazarene,Nihil,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Impaled Nazarene/Nihil/01 Cogito Ergo Sum.m4a
Cohorror,05:37.666,Dark Fortress,Eidolon,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Dark Fortress/Eidolon/02 Cohorror.m4a
Cold Dark Matter,04:21.640,Red Harvest,Cold Dark Matter,Black Metal,Industrial Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Red Harvest/Cold Dark Matter/04 Cold Dark Matter.m4a
Colossal Voids,08:31.840,Fen,The Malediction Fields,Black Metal,Post-Rock,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Fen/The Malediction Fields/03 Colossal Voids.m4a
Colourless Despondency,07:00.680,Forgotten Tomb,Springtime Depression,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Forgotten Tomb/Springtime Depression/05 Colourless Despondency.m4a
Comme une charogne,04:17.693,Neige éternelle,Neige éternelle,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Neige éternelle/Neige éternelle/05 Comme une charogne.m4a
Contaminating the Divine,04:23.293,Horned Almighty,Contaminating the Divine,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Horned Almighty/Contaminating the Divine/02 Contaminating the Divine.m4a
Convoys to Nothingness,07:58.200,Enslaved,Monumension,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/Monumension/01 Convoys to Nothingness.m4a
Coronation,04:41.480,Infernal War,A X I O M,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Infernal War/A X I O M/01 Coronation.m4a
Corpsecry - Angelfall,06:42.240,Sigh,Imaginary Sonicscape,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Imaginary Sonicscape/01 Corpsecry - Angelfall.m4a
Cosmic Keys to My Creations & Times,06:06.146,Emperor,In the Nightside Eclipse,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Emperor/In the Nightside Eclipse/04 Cosmic Keys to My Creations & Times.m4a
Covering the Sun,06:40,Melechesh,Djinn,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Melechesh/Djinn/06 Covering the Sun.m4a
Cri de guerre,06:04.306,Neige éternelle,Neige éternelle,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Neige éternelle/Neige éternelle/01 Cri de guerre.m4a
Crimson Crescent,05:25.573,ThirdMoon,Grotesque Autumnal Weepings,Black Metal,Melodic Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/ThirdMoon/Grotesque Autumnal Weepings/08 Crimson Crescent.m4a
Crossing the Triangle of Flames,06:12.773,Darkthrone,Under a Funeral Moon,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Under a Funeral Moon/08 Crossing the Triangle of Flames.m4a
Crushing Ignorance,03:23.560,Emptiness,Oblivion,Black Metal,Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Emptiness/Oblivion/04 Crushing Ignorance.m4a
Cthulhu Dawn,04:17.413,Cradle of Filth,Midian,Black Metal,Gothic Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Cradle Of Filth/Midian/02 Cthulhu Dawn.m4a
Cunoaşterea Tăcută,07:11.666,Negură Bunget,Om,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Negură Bunget/Om/04 Cunoaşterea Tăcută.m4a
Curse of Canaan,03:52,De Magia Veterum,Migdal Bavel,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/De Magia Veterum/Migdal Bavel/05 Curse of Canaan.m4a
Cursed Realms of the Winterdemons,03:59.266,Immortal,Battles In the North,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Immortal/Battles In The North/06 Cursed Realms of the Winterdemons.m4a
Cursed We Are,05:14.720,I,Between Two Worlds,Black Metal,Heavy Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/I/Between Two Worlds/08 Cursed We Are.m4a
Danjon Nolla,03:42.573,Oranssi Pazuzu,Muukalainen Puhuu,Black Metal,Psychedelic,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Oranssi Pazuzu/Muukalainen Puhuu/02 Danjon Nolla.m4a
Dark Sorceress (Autumn Siege),06:08.373,Barathrum,Legions of Perkele,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Barathrum/Legions of Perkele/04 Dark Sorceress (Autumn Siege).m4a
Dark Thrones and Black Flags,02:24.773,Darkthrone,Dark Thrones and Black Flags,Black Metal,Punk Rock,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Dark Thrones and Black Flags/08 Dark Thrones and Black Flags.m4a
Das Kleine Volk,04:39,Menhir,Thuringia,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Menhir/Thuringia/06 Das Kleine Volk.m4a
Day of Purification,04:13.160,Horned Almighty,Contaminating the Divine,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Horned Almighty/Contaminating the Divine/08 Day of Purification.m4a
Daylight,08:56.346,Enslaved,In Times,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/In Times/06 Daylight.m4a
Daylight Obsession,07:15.973,Forgotten Tomb,Springtime Depression,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Forgotten Tomb/Springtime Depression/03 Daylight Obsession.m4a
Days of North Winds,04:04.826,I,Between Two Worlds,Black Metal,Heavy Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/I/Between Two Worlds/06 Days of North Winds.m4a
De Piatră,05:35.986,Negură Bunget,Om,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Negură Bunget/Om/08 De Piatră.m4a
De underjordiske (Ælia Capitolina),03:13.613,Darkthrone,The Cult Is Alive,Black Metal,Punk Rock,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/The Cult Is Alive/07 De underjordiske (Ælia Capitolina).m4a
Dead the Age of Hollow Vessels,12:15.737,Rebirth of Nefast,Tabernaculum,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Rebirth of Nefast/Tabernaculum/06 Dead the Age of Hollow Vessels.m4a
Dearth,03:44.813,Deathspell Omega,Paracletus,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Paracletus/04 Dearth.m4a
Death Chant,05:51.653,Varathron,Untrodden Corridors of Hades,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Varathron/Untrodden Corridors of Hades/06 Death Chant.m4a
Death In Cyborg Era,07:50.600,Red Harvest,Cold Dark Matter,Black Metal,Industrial Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Red Harvest/Cold Dark Matter/08 Death In Cyborg Era.m4a
Death In the Eyes of Dawn,08:16.720,Enslaved,RIITIIR,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/RIITIIR/02 Death In the Eyes of Dawn.m4a
Death Magick for Adepts,05:53.720,Cradle of Filth,Midian,Black Metal,Gothic Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Cradle Of Filth/Midian/04 Death Magick for Adepts.m4a
Death of All Oaths (Oath Minus),04:16.426,Darkthrone,Dark Thrones and Black Flags,Black Metal,Punk Rock,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Dark Thrones and Black Flags/02 Death of All Oaths (Oath Minus).m4a
Death of the Soul,04:23.320,Horned Almighty,Contaminating the Divine,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Horned Almighty/Contaminating the Divine/03 Death of the Soul.m4a
Dedesuptul,06:39.320,Negură Bunget,Om,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Negură Bunget/Om/06 Dedesuptul.m4a
Dei Corpi Silenti,03:45.106,Tenebrae in Perpetuum,L'Eterno Maligno Silenzio,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Tenebrae in Perpetuum/L'Eterno Maligno Silenzio/06 Dei Corpi Silenti.m4a
Delirium Tremens,03:31.840,Impaled Nazarene,Latex Cult,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Impaled Nazarene/Latex Cult/14 Delirium Tremens.m4a
Deluge of Delusional Dreams,06:25.053,Melechesh,Emissaries,Black Metal,Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Melechesh/Emissaries/03 Deluge of Delusional Dreams.m4a
Delve Into the Past,08:35.426,Varathron,Untrodden Corridors of Hades,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Varathron/Untrodden Corridors of Hades/07 Delve Into the Past.m4a
Demonium,03:57.800,Immortal,Sons of Northern Darkness,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Immortal/Sons of Northern Darkness/04 Demonium.m4a
Departing Flesh and Bone,05:13.906,Midnight Odyssey,Firmament,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Midnight Odyssey/Firmament/03 Departing Flesh and Bone.m4a
Depraved,06:32.493,Emperor,Prometheus - The Discipline of Fire & Demise,Black Metal,Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Emperor/Prometheus - The Discipline of Fire & Demise/02 Depraved.m4a
Der Dolch im Gewande,05:18.186,Imperium Dekadenz,Dämmerung der Szenarien,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Imperium Dekadenz/Dämmerung der Szenarien/02 Der Dolch im Gewande.m4a
Der Ort,06:20.946,Klabautamann,Der Ort,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Klabautamann/Der Ort/01 Der Ort.m4a
Der Wald Ist Ein Meer,04:17.813,Klabautamann,Merkur,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Klabautamann/Merkur/06 Der Wald Ist Ein Meer.m4a
Descent Into Eminent Silence,03:09.866,Immortal,Battles In the North,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Immortal/Battles In The North/03 Descent Into Eminent Silence.m4a
Descent of a Prophetic Vision,03:28.893,Varathron,Black Arts Lead to Everlasting Sins,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Compilations/Black Arts Lead to Everlasting Sins/10 Descent of a Prophetic Vision.m4a
Despise the 'Living',05:36.386,Dark Fortress,Stab Wounds,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Dark Fortress/Stab Wounds/05 Despise the 'Living'.m4a
Det iskalla trollblod,03:54.626,Finntroll,Nattfödd,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Finntroll/Nattfödd/08 Det iskalla trollblod.m4a
Det svartner nå,05:38.173,Darkthrone,Hate Them,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Hate Them/02 Det svartner nå.m4a
Deute die Zeichen stehen auf Sturm,08:55.453,Horn,Naturkraft,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Horn/Naturkraft/02 Deute die Zeichen stehen auf Sturm.m4a
Devil's Blood,05:54.333,Watain,Casus Luciferi,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Watain/Casus Luciferi/01 Devil's Blood.m4a
Devouring Famine,05:06.453,Deathspell Omega,Paracletus,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Paracletus/09 Devouring Famine.m4a
Diabolic Suicide,07:31.933,Sigh,Scenario IV: Dread Dreams,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Scenario IV_ Dread Dreams/01 Diabolic Suicide.m4a
Diastric Alchemy,04:58.933,Rotting Christ,Triarchy of the Lost Lovers,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Rotting Christ/Triarchy of the Lost Lovers/07 Diastric Alchemy.m4a
Die Kelten,04:38.506,Menhir,Thuringia,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Menhir/Thuringia/02 Die Kelten.m4a
Dimension of the Blackest Dark,07:12.933,Forgotten Woods,As the Wolves Gather,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Forgotten Woods/As the Wolves Gather/06 Dimension of the Blackest Dark.m4a
Disciple's Libration (Lost in the Nine Worlds),09:06.493,Blut Aus Nord,Memoria Vetusta II: Dialogue with the Stars,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Blut Aus Nord/Memoria Vetusta II_ Dialogue with the Stars/02 Disciple's Libration (Lost in the Nine Worlds).m4a
Disguise My Parting,04:26.333,Mörk Gryning,Mörk Gryning,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Mörk Gryning/Mörk Gryning/08 Disguise My Parting.m4a
Disheartenment,12:39.706,Forgotten Tomb,Songs to Leave,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Forgotten Tomb/Songs to Leave/05 Disheartenment.m4a
Disintegrator,05:04.493,Enslaved,Thorn,Black Metal,Progressive Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/Thorn/01 Disintegrator.m4a
Dissoluzione in Preghiera,04:41.853,Tenebrae in Perpetuum,L'Eterno Maligno Silenzio,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Tenebrae in Perpetuum/L'Eterno Maligno Silenzio/03 Dissoluzione in Preghiera.m4a
Divided We Stand,05:17.440,Darkthrone,Hate Them,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Hate Them/05 Divided We Stand.m4a
Divine Graveyard,05:47.826,Sigh,Scenario IV: Dread Dreams,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Scenario IV_ Dread Dreams/09 Divine Graveyard.m4a
Doorways to Irkala,08:00.573,Melechesh,Enki,Black Metal,Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Melechesh/Enki/08 Doorways to Irkala.m4a
Dor Daedeloth,10:15.760,Summoning,Minas Morgul,Black Metal,Martial Industrial,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Summoning/Minas Morgul/11 Dor Daedeloth.m4a
Double Helixed Sceptre,05:56.346,Melechesh,Emissaries,Black Metal,Death Metal,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Melechesh/Emissaries/06 Double Helixed Sceptre.m4a
Doubt,06:12.520,I Shalt Become,Poison,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/I Shalt Become/Poison/08 Doubt.m4a
Dragon Dispitous,05:17.080,Nazxul,Iconoclast,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Nazxul/Iconoclast/02 Dragon Dispitous.m4a
Dragon's Legacy,05:38.013,Melechesh,Djinn,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Melechesh/Djinn/09 Dragon's Legacy.m4a
Dreamsphere (Return to the Chaos),06:50.093,Sigh,Imaginary Sonicscape,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Imaginary Sonicscape/06 Dreamsphere (Return to the Chaos).m4a
Drink the Devil's Blood,04:32.026,Deathspell Omega,"Si Monvmentvm Reqvires, Circvmspice",Black Metal,NA,NA,"///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Deathspell Omega/Si Monvmentvm Reqvires, Circvmspice/12 Drink the Devil's Blood.m4a"
Du Som Hater Gud,04:21.400,Satyricon,Nemesis Divina,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Satyricon/Nemesis Divina/04 Du Som Hater Gud.m4a
Earth's Last Picture,05:12.666,Darkthrone,Total Death,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Darkthrone/Total Death/01 Earth's Last Picture.m4a
Earthshine,09:33.173,Summoning,Old Mornings Dawn,Black Metal,Martial Industrial,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Summoning/Old Mornings Dawn/08 Earthshine.m4a
Eater of Hope,03:39.826,Infernal War,A X I O M,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Infernal War/A X I O M/08 Eater of Hope.m4a
Eclipsed,06:26.160,Forgotten Woods,As the Wolves Gather,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Forgotten Woods/As the Wolves Gather/01 Eclipsed.m4a
Ecstatic Transformation,05:34.573,Sigh,Imaginary Sonicscape,Black Metal,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Sigh/Imaginary Sonicscape/07 Ecstatic Transformation.m4a
